# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.05469e-05 to 226.999 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       1.054685228580e-05      -1.550859072511e+00      -1.163144304425e+00      -1.163144304426e+00      -1.163069277912e-01      -1.550859072503e+00      -1.174308164838e+00       6.122887988442e-01       5.968109340049e-01       1.533248340676e-08       1.533261042169e-08       1.533261062934e-08       1.533261064649e-08       1.533247324729e-08       1.533260559795e-08 
       1.104391012053e-05      -1.550860726677e+00      -1.163145545059e+00      -1.163145545060e+00      -1.163069513392e-01      -1.550860726667e+00      -1.174309417375e+00       6.122887294357e-01       5.968108759972e-01       1.681171485899e-08       1.681187182241e-08       1.681187206615e-08       1.681187208497e-08       1.681170264621e-08       1.681186585620e-08 
       1.156439356932e-05      -1.550862455861e+00      -1.163146841959e+00      -1.163146841960e+00      -1.163069742164e-01      -1.550862455849e+00      -1.174310726722e+00       6.122886744736e-01       5.968108338224e-01       1.843365599906e-08       1.843384956616e-08       1.843384983566e-08       1.843384985629e-08       1.843364133334e-08       1.843384218953e-08 
       1.210940664733e-05      -1.550864638210e+00      -1.163148478735e+00      -1.163148478736e+00      -1.163070172791e-01      -1.550864638196e+00      -1.174312379200e+00       6.122885426242e-01       5.968107154342e-01       2.021207472510e-08       2.021231258362e-08       2.021231287513e-08       2.021231289775e-08       2.021205711796e-08       2.021230349335e-08 
       1.268010540038e-05      -1.550869285642e+00      -1.163151964329e+00      -1.163151964330e+00      -1.163069867560e-01      -1.550869285625e+00      -1.174315898209e+00       6.122878344190e-01       5.968100244918e-01       2.216205264752e-08       2.216235345468e-08       2.216235387859e-08       2.216235390339e-08       2.216203129388e-08       2.216234201823e-08 
       1.327770035703e-05      -1.550871471443e+00      -1.163153603699e+00      -1.163153603701e+00      -1.163070300055e-01      -1.550871471422e+00      -1.174317553313e+00       6.122877853901e-01       5.968099909131e-01       2.430017257014e-08       2.430053638063e-08       2.430053687554e-08       2.430053690274e-08       2.430014692402e-08       2.430052253716e-08 
       1.390345909631e-05      -1.550873855686e+00      -1.163155391907e+00      -1.163155391908e+00      -1.163070774039e-01      -1.550873855662e+00      -1.174319358682e+00       6.122877347400e-01       5.968099571710e-01       2.664456753847e-08       2.664500719504e-08       2.664500777489e-08       2.664500780471e-08       2.664453673392e-08       2.664499045359e-08 
       1.455870893641e-05      -1.550876469953e+00      -1.163157352637e+00      -1.163157352639e+00      -1.163071293753e-01      -1.550876469924e+00      -1.174321338229e+00       6.122876792034e-01       5.968099201735e-01       2.921513704025e-08       2.921566810186e-08       2.921566878237e-08       2.921566881506e-08       2.921510003669e-08       2.921564786683e-08 
       1.524483975007e-05      -1.550879805659e+00      -1.163159854453e+00      -1.163159854455e+00      -1.163071753278e-01      -1.550879805623e+00      -1.174323864051e+00       6.122875010021e-01       5.968097637100e-01       3.203369314031e-08       3.203433913421e-08       3.203433994178e-08       3.203433997762e-08       3.203364867884e-08       3.203431451210e-08 
       1.596330691276e-05      -1.550883188204e+00      -1.163162391407e+00      -1.163162391409e+00      -1.163072393756e-01      -1.550883188161e+00      -1.174326425358e+00       6.122873743524e-01       5.968096613574e-01       3.512416369985e-08       3.512494936993e-08       3.512495030661e-08       3.512495034591e-08       3.512411033877e-08       3.512491939831e-08 
       1.671563438965e-05      -1.550885534826e+00      -1.163164151428e+00      -1.163164151431e+00      -1.163072763137e-01      -1.550885534775e+00      -1.174328202350e+00       6.122875760486e-01       5.968098893981e-01       3.851278541976e-08       3.851373522180e-08       3.851373624173e-08       3.851373628481e-08       3.851272158008e-08       3.851369890754e-08 
       1.750341796819e-05      -1.550889109299e+00      -1.163166832348e+00      -1.163166832351e+00      -1.163073269174e-01      -1.550889109238e+00      -1.174330909020e+00       6.122875468387e-01       5.968098886324e-01       4.222831631925e-08       4.222946484655e-08       4.222946613697e-08       4.222946618421e-08       4.222823954625e-08       4.222942098682e-08 
       1.832832864296e-05      -1.550893530761e+00      -1.163170148511e+00      -1.163170148515e+00      -1.163073316890e-01      -1.550893530688e+00      -1.174334256930e+00       6.122873892807e-01       5.968097525753e-01       4.630232904290e-08       4.630369076842e-08       4.630369225518e-08       4.630369230698e-08       4.630223700271e-08       4.630363871534e-08 
       1.919211616010e-05      -1.550898445169e+00      -1.163173834428e+00      -1.163173834433e+00      -1.163073571131e-01      -1.550898445079e+00      -1.174337978224e+00       6.122871999109e-01       5.968096094791e-01       5.076925994715e-08       5.077095163780e-08       5.077095348574e-08       5.077095354254e-08       5.076914831313e-08       5.077088701438e-08 
       2.009661272875e-05      -1.550902478442e+00      -1.163176859511e+00      -1.163176859517e+00      -1.163074762063e-01      -1.550902478335e+00      -1.174341032393e+00       6.122873310891e-01       5.968097848069e-01       5.566717993931e-08       5.566924055000e-08       5.566924283491e-08       5.566924289717e-08       5.566704574123e-08       5.566916189004e-08 
       2.104373690739e-05      -1.550907867658e+00      -1.163180901557e+00      -1.163180901565e+00      -1.163075919982e-01      -1.550907867529e+00      -1.174345113214e+00       6.122872332214e-01       5.968097252122e-01       6.103763423349e-08       6.104010411675e-08       6.104010682236e-08       6.104010689061e-08       6.103747311576e-08       6.104000980246e-08 
       2.203549767340e-05      -1.550915143277e+00      -1.163186358427e+00      -1.163186358438e+00      -1.163077107056e-01      -1.550915143119e+00      -1.174350622484e+00       6.122867842944e-01       5.968093188863e-01       6.692616594492e-08       6.692913052017e-08       6.692913417999e-08       6.692913425483e-08       6.692597012167e-08       6.692901761330e-08 
       2.307399868433e-05      -1.550923670384e+00      -1.163192753967e+00      -1.163192753978e+00      -1.163078750436e-01      -1.550923670198e+00      -1.174357079310e+00       6.122861546486e-01       5.968087437083e-01       7.338269546030e-08       7.338629887540e-08       7.338630167812e-08       7.338630176018e-08       7.338246370190e-08       7.338616039842e-08 
       2.416144274005e-05      -1.550930701418e+00      -1.163198027475e+00      -1.163198027487e+00      -1.163080229218e-01      -1.550930701195e+00      -1.174362403430e+00       6.122860439491e-01       5.968086824298e-01       8.046215694477e-08       8.046647016263e-08       8.046647351753e-08       8.046647360750e-08       8.046187875326e-08       8.046630439586e-08 
       2.530013645521e-05      -1.550938291095e+00      -1.163203720004e+00      -1.163203720018e+00      -1.163081917762e-01      -1.550938290829e+00      -1.174368150590e+00       6.122859524893e-01       5.968086444986e-01       8.822457132706e-08       8.822972589967e-08       8.822972987919e-08       8.822972997782e-08       8.822423827063e-08       8.822952776400e-08 
       2.649249515183e-05      -1.550946457672e+00      -1.163209845259e+00      -1.163209845275e+00      -1.163083799746e-01      -1.550946457353e+00      -1.174374334626e+00       6.122858910320e-01       5.968086391081e-01       9.673581639151e-08       9.674196998356e-08       9.674197473118e-08       9.674197483930e-08       9.673541692508e-08       9.674173341574e-08 
       2.774104798258e-05      -1.550954610674e+00      -1.163215960386e+00      -1.163215960406e+00      -1.163086924042e-01      -1.550954610290e+00      -1.174380508441e+00       6.122860240119e-01       5.968088216035e-01       1.060682044332e-07       1.060755018169e-07       1.060755083079e-07       1.060755084264e-07       1.060677225145e-07       1.060752218479e-07 
       2.904844329541e-05      -1.550966481934e+00      -1.163224864416e+00      -1.163224864443e+00      -1.163087478494e-01      -1.550966481465e+00      -1.174389497954e+00       6.122854368204e-01       5.968083368776e-01       1.163003379123e-07       1.163093591221e-07       1.163093680408e-07       1.163093681707e-07       1.162997533042e-07       1.163090139195e-07 
       3.041745425106e-05      -1.550977779732e+00      -1.163233338353e+00      -1.163233338385e+00      -1.163089789287e-01      -1.550977779169e+00      -1.174398053197e+00       6.122852227063e-01       5.968082023960e-01       1.275198397241e-07       1.275306540578e-07       1.275306646892e-07       1.275306648316e-07       1.275191375696e-07       1.275302401696e-07 
       3.185098470532e-05      -1.550990236831e+00      -1.163242681886e+00      -1.163242681925e+00      -1.163092315222e-01      -1.550990236155e+00      -1.174407486376e+00       6.122849705848e-01       5.968080384887e-01       1.398215773999e-07       1.398345524940e-07       1.398345651935e-07       1.398345653496e-07       1.398207337575e-07       1.398340558442e-07 
       3.335207536847e-05      -1.551003814289e+00      -1.163252865822e+00      -1.163252865867e+00      -1.163095096897e-01      -1.551003813478e+00      -1.174417768024e+00       6.122847144879e-01       5.968078769042e-01       1.533099594276e-07       1.533255091761e-07       1.533255241714e-07       1.533255243426e-07       1.533089465883e-07       1.533249137655e-07 
       3.492391025507e-05      -1.551018139769e+00      -1.163263610877e+00      -1.163263610927e+00      -1.163098538416e-01      -1.551018138802e+00      -1.174428616158e+00       6.122845741582e-01       5.968078283333e-01       1.680995723723e-07       1.681180776463e-07       1.681180938168e-07       1.681180940044e-07       1.680983617436e-07       1.681173676221e-07 
       3.656982343765e-05      -1.551034264333e+00      -1.163275705522e+00      -1.163275705582e+00      -1.163101815155e-01      -1.551034263171e+00      -1.174440826849e+00       6.122843159735e-01       5.968076859193e-01       1.843155520203e-07       1.843377729174e-07       1.843377932523e-07       1.843377934579e-07       1.843140956372e-07       1.843369210327e-07 
